duid,district,lon,lat,height_m,storeys,current_name,proposed_name,grade,name_source,agreeing_sources,confidence,match_distance_m,inside_footprint,method,developer,project,changed
DXB-SAMAAL-07401aa3ca,samaaljadaf,55.325547,25.21523,30.6,9,Marbella Holiday homes,Marbella Holiday homes,MATCHED,osm,osm,0.9,0.0,True,carried on the footprint by build_anchors,,,False
DXB-SAMAAL-d6b3f4c13a,samaaljadaf,55.325806,25.215363,30.6,9,Al Jaddaf Building,Al Jaddaf Building,MATCHED,osm,osm,0.9,0.0,True,carried on the footprint by build_anchors,,,False
DXB-SAMAAL-4daf14331f,samaaljadaf,55.32879,25.216385,44.2,13,Devet 1,Devet 1,MATCHED,osm,osm,0.9,0.0,True,carried on the footprint by build_anchors,,,False
DXB-SAMAAL-915f20dfad,samaaljadaf,55.321582,25.211421,12.0,4,Wellness Village substation,Wellness Village substation,MATCHED,osm,osm,0.9,0.0,True,carried on the footprint by build_anchors,,,False
DXB-SAMAAL-8dbb8344fe,samaaljadaf,55.320239,25.209939,12.0,4,,,UNKNOWN,,,0.0,,,,,,False
DXB-SAMAAL-5dcac3bdee,samaaljadaf,55.324953,25.217293,51.0,15,,Chubby Cheeks Nursery Jaddaf Garhoud,MATCHED,places,places,0.7,0.0,True,place search on the footprint centroid (preschool),,,True
DXB-SAMAAL-e3cea3ab0c,samaaljadaf,55.324079,25.217615,44.2,13,Khansaheb Residence,Khansaheb Residence,MATCHED,osm,osm,0.9,0.0,True,carried on the footprint by build_anchors,,,False
DXB-SAMAAL-6dbb6302e9,samaaljadaf,55.323908,25.21844,51.0,15,,Lahore Plate Restaurant Jaddaf,MATCHED,places,places,0.7,0.0,True,place search on the footprint centroid (pakistani_restaurant),,,True
DXB-SAMAAL-e20acfc45d,samaaljadaf,55.315283,25.20876,68.0,18,,Moonglam beauty,MATCHED,places,places,0.7,0.0,True,place search on the footprint centroid (beauty_salon),,,True
DXB-SAMAAL-23a55a0e58,samaaljadaf,55.314257,25.211373,37.4,11,,Golden Appliance Repairing Dubai,MATCHED,places,places,0.7,0.0,True,place search on the footprint centroid (service),,,True
DXB-SAMAAL-5009db5586,samaaljadaf,55.318109,25.211015,44.2,13,,Ramada Residences by Wyndham,MATCHED,places,places,0.7,0.0,True,place search on the footprint centroid (apartment_building),,,True
DXB-SAMAAL-40ec6cc4d9,samaaljadaf,55.319024,25.213628,61.2,16,,Stylish Roomy 1BR in the Heart of the City - One-Bedroom Apartment,MATCHED,places,places,0.7,0.0,True,place search on the footprint centroid (lodging),,,True
